epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.695,1.54173,3.99763,1.92655,0.00387,0.90909,0.11547,0.05081,1.48844,4.80278,2.68555,0.000177867,0.000177867,0.000177867
2,369.245,1.55886,4.02933,1.91862,0.00522,1,0.21235,0.09752,1.15643,4.70021,2.18503,0.000396238,0.000396238,0.000396238
3,564.112,1.27281,3.81252,1.67998,0.00522,1,0.21235,0.09752,1.15643,4.70021,2.18503,0.000610207,0.000610207,0.000610207
4,770.657,1.41155,3.83096,1.75028,0.00596,0.90909,0.21337,0.111,1.02993,4.72099,1.88446,0.00064719,0.00064719,0.00064719
5,1086.24,1.27206,3.73625,1.66997,0.00514,0.90909,0.27963,0.13819,1.07546,4.80183,1.97935,0.000640587,0.000640587,0.000640587
6,1273.66,1.32278,3.71282,1.70237,0.00528,0.81818,0.27691,0.13738,1.07546,4.80183,1.97935,0.000633983,0.000633983,0.000633983
7,1463.94,1.27897,3.53193,1.69878,0.00519,1,0.23204,0.13097,1.19684,4.78428,2.11344,0.00062738,0.00062738,0.00062738
8,1620.76,1.27867,3.67309,1.71447,0.00404,0.90909,0.28202,0.12589,1.39449,4.76102,2.30443,0.000620777,0.000620777,0.000620777
9,1751.21,1.19944,3.31896,1.64275,0.00404,0.90909,0.28202,0.12589,1.39449,4.76102,2.30443,0.000614174,0.000614174,0.000614174
10,1941.44,1.31113,3.17924,1.64425,0.927,0.09091,0.31905,0.17609,1.52684,4.49422,2.4839,0.00060757,0.00060757,0.00060757
11,2089.27,1.26273,3.37468,1.71342,0.927,0.09091,0.31905,0.17609,1.52684,4.49422,2.4839,0.000600967,0.000600967,0.000600967
12,2301.6,1.21943,3.44111,1.68487,0.00586,0.90909,0.30832,0.15539,1.45591,4.45415,2.41876,0.000594364,0.000594364,0.000594364
13,2481.88,1.29472,3.11321,1.68073,0.00702,1,0.34586,0.1833,1.46923,4.58872,2.34315,0.00058776,0.00058776,0.00058776
14,2751.19,1.14527,3.23058,1.61797,0.00702,1,0.34586,0.1833,1.46923,4.58872,2.34315,0.000581157,0.000581157,0.000581157
15,2972.57,1.2636,3.21109,1.61378,0.00634,1,0.3556,0.20283,1.4095,4.40786,2.36161,0.000574554,0.000574554,0.000574554
